userName,content,score,reviewCreatedVersion,at,Sentimen (Aurel),Sentimen (Ade),Sentimen (Eky),Sentimen Akhir
mbub wolez,"Saya seharian daftar buat besok ga bisa, malah keluar sendiri, trus login lg masih tetep sama, tulisannya begini ""transaksi blm dpt d proses tunggu beberapa saat lg"", trus aj begitu berulang ulang. Tolong d perbaiki bukan'y membantu mempermudah malah bikin kesel, klo udah d perbaiki bintang otomatis mengikuti. Thanks",1,4.3.0,2023-01-09 13:41:56,-1,-1,-1,Negatif
Aprilia Via,"Aplikasi ini sangat sulit di gunakan,saya kesulitan dan tidak bisa mengubah data pribadi saya sendiri, harusnya ketika saya daftar setelah itu juga data pribadi saya sudah tercantum, tetapi ini malah nama dan data orang lain yang ada di aplikasi, terlalu berbelit-belit..",1,4.3.0,2023-01-24 03:29:56,-1,-1,-1,Negatif
Alip Hartono,"Saya mau merubah faskes, tp menu perubahan data tidak bisa dibuka, diminta menyetujui persyaratan jkn sblm buka aplikasi, padahal sudah dicentang dan disetujui, sebelumnya buka di hp istri logout dr akun jkn istri, kok malah ga bisa buka menu perubahan JKN di hp saya, ribet. Tolong apk jkn diperbaharui lg lb baik dan taktis, terima kasih",4,4.3.0,2023-01-20 09:05:47,-1,-1,-1,Negatif
Jamila Mila,Semenjak di updet bukan makin bagus malah bikin susah....Saya mau buka app malah disuruh masukin pin...Mau buat pin sendiri katanya pin secara otomatis masuk melalui SMS....Saya tunggu² gak ada SMS verivikasi yang masuk....Bagaimana saya bisa menggunakan aplikasinya Klo pin nya gak bisa masuk....,1,4.3.0,2023-01-15 01:54:53,-1,-1,-1,Negatif
Rizqi Nuranisa,Ini kok fitur pendaftaran online ke faskes lanjutannya ga bisa yaaa? pdhl sebelum aplikasi di upgrade mah masih bisa. Sedangkan rumah sakit menolak pendaftaran karena katanya quota udah abis karena banyak yg daftar online via aplikasi. Masa cm aplikasi di HP saya aja yg ga bisa klik menu itu.,3,4.3.0,2023-01-16 04:45:48,-1,-1,-1,Negatif
Zuyyina Rahmah Fithriyyah,"Ini kenapa ya mau daftar mobile jkn tapi kok setiap daftar ada tulisan (""RESPONSE_CODE"": ""06"",""RESPONS E_DESC"":""Jam Akses Tidak Sesuai"",""RESPONSE"":""Jam Akses Tidak Sesuai""). Bisa tolong kasih solusinya?",1,4.3.0,2023-01-21 13:57:57,-1,-1,-1,Negatif
Dewi Saputri,"Login untuk daftar JKN dari tadi gk bisa terus permintaan tidak dapat diproses, sudah dapat OTP NYA selalu muncul kata2 tersebut .. Tolong perbaiki app nya dong!! Dipercepat sat set sat set , biar gampang login tidak bertele tele ..",1,4.3.0,2023-01-09 23:54:24,-1,-1,-1,Negatif
Pramisela Abdi,"Nyebelin pas login padahal NIK benar, password benar, captcha benar, tapi gagal terus.. ya iya sih penyelesaiannya bisa dengan klik lupa password dan reset password.. Tapi ya kali masa tiap mau login harus reset password, merepotkan sekali bukan?? Tolonglah kenapa gagal gagal terus pas login?? Bikin emosi,",1,4.3.0,2023-01-01 15:12:00,-1,-1,-1,Negatif
sinichi kudo,Sering tidak sinkron sama rs rujukan. Mending seperti dulu untuk faskes 2 daftarnya tetap pake aplikasi yang dari rs saja tidak usah pake jkn. Tp sekarang mau pake aplikasi dari rs rujukan tidak bisa. Disuruh pake jkn. Pake jkn tidak sinkron. Ujung2nya malah jadi antri manual. Aplikasi ini tidak mempermudah malah jadi semakin ribet. Tolong skill dari progamernya ditingkatkan dong.,1,4.3.0,2023-01-26 03:19:25,-1,-1,-1,Negatif
DhytraDhi Pesiwarissa,"Sungguh tidak membantu!! Pulsa ada, Wifi Stabil, semuanya oke.. tapi kenapa saat mau daftar autodebit malah itu kode verifikasinya gak masuk-masuk, tolong diperbaiki!!!! Klo memang tidak sanggup mending gak ush bikin autodebit biar gak perlu ngirim kode verifikasi",1,4.3.0,2023-01-16 00:28:41,-1,-1,-1,Negatif
Abdullah Binsarpan Surawi,"Saya kasih bintang 1 dulu ya, karena telp 165 Susah, kontak email ga ada, pendaftaran penambahan peserta anak yg ke 4 ga bisa di aplikasi, pada hal sesuai note di telp 165 demi keamanan bersama kurang kontak fisik. Kalau sistem/aplikasi ga bisa ya otomatis secara tidak langsung kita di suruh ke Loket.",1,4.3.0,2023-01-27 03:40:50,-1,-1,-1,Negatif
Lia A,App ribet banget sumpah..udah diperbarui mau masuk aja susah ditambah lg harus ubah pin..pin yg manaa setiap kali klik selalu muncul itu terus ga bisa di akses..tolong lah dipermudah aja,1,4.3.0,2023-01-14 02:24:51,-1,-1,-1,Negatif
Tata Suparta,"Sangat tidak berguna setelah di perbaharui,, nungu SMS untuk verifikasi no pin lebih dari 7 jam ga ada SMS,, tolong lah jangan persulit kami sebagai pengguna/peserta jkn,, mohon di perbaiki,, biarkan bintang yg berbicara,, ""KECEWA!!",1,4.3.0,2023-01-14 14:20:49,-1,-1,-1,Negatif
Yurid Gandi,"Knp langsung di arahkan ke auto debet waktu log in, dan opsi pilihan batal & setuju sj. Jd tdk bisa akses fitur aplikasi yg lain, mhon perbaiki. Mohon tmbah Opsi untk ""lewati "" biar bisa akses fitur aplikasi",1,4.3.0,2023-01-07 05:49:39,-1,-1,-1,Negatif
Herlan Yuswanul,"Tolong ini gimana caranya mau ganti email, di menu profil gada pilihannya. Cara gantinya gimana??? Udh gt gada contact support nya. Cacat banget. Trs mau minta tolong gimana ini??? Udah coba ngecek FAQ nya ga bisa kebuka sama sekali. Abu abu doang tampilannya",2,4.3.0,2023-01-27 01:09:00,-1,-1,-1,Negatif
vina meida,"Saya kira setelah d update akaj lebih baik, ternyata sama saja bikin mumet. Mau rubah no hp saja gagal terus, udah capek isi data pas masukin nomor baru keyboard nggak nongol terus. Akun status belum terverifikasi aja. Buruk",1,4.3.0,2023-01-25 04:27:44,-1,-1,-1,Negatif
Maulvi Hazna Talitha,Min di bagian info riwayat pelayanan tolong dimunculin lagi nama polinya. Setelah update ini cuma ada nama RS aja. Soalnya info itu berguna buat aku yg harus kontrol ke beberapa poli. Jadi bisa tracking kapan terakhir periksa ke poli tertentu.,4,4.3.0,2023-01-24 23:47:40,0,-1,0,Netral
nopi riawan,Minta update terus... Tiba di update malahan nggak bisa masuk...make minta pin segala...tapi pin nya nggak pernah muncul via SMS... Mentang-mentang plat merah kerja secara amatir nggak apa-apa...siapa yg berani menggugat 👿👿👿,1,4.3.0,2023-01-21 05:26:45,-1,-1,-1,Negatif
Fajar Rizqi,"Yang kasih bintang 1 kayanya orang2 yang baru keluar dari gua. Aplikasi gampang, login juga cepet, mau pindah faskes cepet, malah dibilang jelek. Ada yg bilang susah login, hadeehh.. bikin password sama email yang gampang aja tong. Ga usah aneh2..",5,4.3.0,2023-01-04 01:50:00,1,-1,1,Positif
ahmad suditno,"Aplikasi yg baru ini sangat jelek sekali dari pada aplikasi yg sebelumnya, karena aplikasi yg terbaru sulit untuk masuk dan daftarkan pin....mohon untuk admin tingkatkan produk terbaik nya dan mudahkan cara login nya",1,4.3.0,2023-01-05 15:22:43,-1,-1,-1,Negatif
Ramlan Painem,"Awal buka aplikasi ini disuruh login dan membuat auto debit, tapi pilihan bank nya kok gak lengkap, pilihan untuk Bank Nasional Indonesia tidak ada, sementara saya mendaftar di kantor BPJS kesehatan dan di arahkan untuk membuka tabungan di BNI, TOLONG DI LENGKAPI PILIHAN UNTUK BANK BNI NYA DOOOONG",2,4.3.0,2023-01-09 04:59:30,-1,-1,-1,Negatif
Victor Custom,"Usaha gulung tikar pandemi makin susah cari duit, tidak ada penghasilan tetap cuma cukup untuk makan dan keperluan rumah, tapi TAGIHAN JALAN TERUS TIAP BULAN.. tidak bisa di cicil/stop ,harus bayar lunas. Kartu tidak bisa di pakai untuk berobat, system seperti rentenir berkedok jaminan kesehatan. Sudah gak mampu bayar tunggakan masih aja jalan terus tagihan.",1,4.3.0,2023-01-08 17:51:01,-1,-1,-1,Negatif
Hermawan Yr,"Aplikasinya sangat membantu sekali tetapi masih ada beberapa hal yang perlu diperbaiki, saya mendaftar melalui aplikasi JKN mobile ternyata dokter berhalangan hadir karena sakit, oleh pihak faskes diminta membatalkan melalui aplikasi JKN mobile. ketika saya klik batalkan terdapat keterangan ""tidak dapat terhubung ke server rumah sakit"" hari berikutnya saya coba lagi keterangannya ""pembatalan tidak berlaku mundur"". s.d sekarang statusnya masih menggantung di aplikasi JKN mobile",1,4.3.0,2023-01-26 06:34:40,0,1,1,Positif
GiLang Lp,"Saya sudah biasa menggunakan utk keperluan terkain bpjs kesehata, terutama untuk booking no antrean, tapi kenapa bulan sekarang sya ga bisa booking muncul keterangan ""user ini sudah tidak dapat di gunakan"" padahal ga pernah saya utak atik dari terahir di gunakan, bahkan iuran sudah terbayar....tong segera di perbaiki",1,4.3.0,2023-01-04 22:46:29,-1,-1,-1,Negatif
sri sungkawaningati,"Hanya untuk login saja susah sekali, selalu muncul notif daftar autodebet, saya sudah isi kolom autodebet bank tapi muncul notif nomor hp tidak dikenal, di pencet back pun tidak respon, bikin aplikasi kok menyusahkan,",1,4.3.0,2023-01-08 04:45:08,-1,-1,-1,Negatif
rosalina kenaya,"Download JKN sudah berhasil pada saat mau daftar dan di verifikasi data minta masukkan no HP, sudah memasukkan no HP tapi notif "" No yang Anda masukkan sudah pernah di gunakan peserta lain "" Mencoba menggunakan email juga notifnya sama, email sudah di gunakan peserta lain. Kalau memang betul verifikasi via no HP berarti kalau pernah download dan di hapus aplikasinya berarti tidak bisa di gunakan lagi ?? Bagaimana solusinya Min, fitur banyak dan bagus, tapi ribet.mohon solusinya. Terimakasih",1,4.3.0,2023-01-09 08:36:59,-1,-1,-1,Negatif
Nesza Aulia,"Kenapa setelah diupdate aplikasinya tidak bisa digunakan ? Mau ngambil nomer antrian aja susah ""gagal terhubung ke server RS, coba beberapa saat lagi"". Aneh bgt , mohon untuk diperbaiki 🙏",1,4.3.0,2023-01-14 22:07:48,-1,-1,-1,Negatif
PRAYOGI SIDIK,Untuk pelayanan bpjs ini sangat baik. Selama saya mengikuti nya belum peenah ada sesuatu yg tidak sesuai.. Apalagi ditambah apk mobile JKN ini. Semakin memudahkan kita untuk menikmati bpjs ini...terima kasih.,5,4.3.0,2023-01-30 01:22:00,1,1,1,Positif
Eko Chandra,Kenapa update aplikasi update jan 2023 tidak ada menu ubah peserta? Mau download kartu peserta jadi tidak bisa karena harus didaftarkan email tiap peserta. Sedangkan untuk menambahkan email tidak bisa krn menunya tidak ada. Mohon diperbaiki lagi aplikasinya,2,4.3.0,2023-01-26 13:02:36,-1,-1,-1,Negatif
rizki,"Blm apa2 suruh autodebit tp pilihan bank nya terbatas, saya pake BSI dan tdk ada di pilihan, mna ga bisa di skip lg, otomatis berhenti smpe situ dn ga tuntas. klo dtg lngsung bilangnya ""coba di aplikasi lebih mudah"" MANAAA ?",1,4.3.0,2023-01-15 13:36:42,-1,-1,-1,Negatif
Dede Tasrudin,Jelek dn buruk sekali layanan nya. Verifikasi no. Waktunya 299 detik tpi nunggu balasan sms nya 5-10menit. Pas di masukin sudah kadaluarsa no. Nya. Hadeuh... Bikin darah tinggi. Ini Aplikasi paling Konyol yg udh di download.,1,4.3.0,2023-01-09 08:29:32,-1,-1,-1,Negatif
bayu k paty,"masih nge bug waktu mau nambah anggota keluarga, waktu ngcek NIK, kolom nya sudah terisi dluan tapi setelah di search katanya NIK kosong atau format NIK tidak sesuai.. gmana ini tim terkait nya tolong di cek lah. di tunggu.",2,4.3.0,2023-01-06 02:19:40,-1,-1,-1,Negatif
Maulana Muhammad Fatwa Nafs Al Rahman,"Fitur ambil antrian online tidak berfungsi (eror terus). Jadi tetap harus ambil manual dari sehabis subuh. Kesiangan sambung besok lagi, dan begitu seterusnya.",2,4.3.0,2023-01-26 01:14:00,-1,-1,-1,Negatif
Niken Gustantiah Syahaddina,"untuk update yg terbaru belum saya coba,tapi untuk app yg lama sudah cukup memadai,kecuali beberapa faskes tidak menerima log in dari mobile jkn dan harus menunjukan kartu bpjs secara konvensional",4,4.3.0,2023-01-29 01:26:47,-1,1,1,Positif
Junaedi Jenaedi,Semua perbaruan data keluarga di suruh nya pake apk ini. Tapi rubah nama anak dari nama bayi ibu nya. Menjadi nama sendiri gabisa bisa. Kalo sudah ada apah apah trus sampe di opnam di rs ga akan di terima sebelom di ganti nama nya menjadi nama sesuai kk. Sementara ubah data nya ga bisa. Jadi serba menyusahkan..,5,4.3.0,2023-01-13 13:53:00,-1,-1,-1,Negatif
Lenci selma Dethan,Mau login ke akun saja susah sekali Verifikasi Sudah pakai email tapi masih pakai nomor Hp juga. Okaylah 2x verifikasi tidak masalah cuman SMS musti pakai pulsa jadi saya sudah isi pulsa untuk dapat code OTPnya tapi setelah dikirim selalu gangguan sampai pulsa saya habis karna cobalagi tapi tetap tidak bisa login,1,4.3.0,2023-01-05 04:20:20,-1,-1,-1,Negatif
Rosita Salma,"Aplikasi nya tidak bisa di pakai gimana sih!!! , Untuk login/masuk ga bisa katanya kodeny eror melulu padahal udh bener nik nya udh bnr yg lainny jg aplikasi aneh ga bisa dipake ngabisin kouta aja",1,4.3.0,2023-01-05 22:45:11,-1,-1,-1,Negatif
Nurhaliza,"Kenapa sih susah banget pake menu nyaa, mau cek iuran, dr chat cika, sms, sampe web ttp aja gabisa, berbelit2, di app ga terlihat menunya, chat cika disuruh instal app, emang ga guna banget app ini, gimana sihhh anjjjj lah",1,4.3.0,2023-01-29 00:16:58,-1,-1,-1,Negatif
Windy Sulistiyawati,Baguslah sekarang bisa urus perubahan data lewat aplikasi jadi gak perlu jauh2 ke kantor bpjs cuma ya tolong lebih ditingkatkan lagi pelayanannya karena bagi yang tidak mampu sedangkan jkn kis yang tidak berbayar sulit untuk didaftarkan,4,4.3.0,2023-01-21 05:14:57,0,1,1,Positif
Muammar Rizal Alghifari (Indomie),"Pendaftaran online untuk kontrol di RS telah lewat batas waktunya tetapi harus cek-in manual di aplikasi dulu yg harus min. 1 km dari RS sedangkan rumah saya 10km dari RS, padahal aplikasi RS terkait sudah dianggap absen, alhasil tidak bisa mendaftar lagi untuk kontrol di lain hari krn hal tadi dan jika mencoba membatalkan pendaftaran dahulu malah muncul ""gagal terhubung dengan server RS""",1,4.3.0,2023-01-15 19:56:39,-1,-1,-1,Negatif
Kori Fatra,"Sangat puas, masukan sedikit setelah berobat tolong beri surat keterangan sakitnya ada di bagian aplikasi(bentuk elektronik pdf barcode bukan lembar kertas dari dokter) Untuk persyaratan jika tidak masuk kerja karena sakit. Terima kasih...",5,4.3.0,2023-01-13 00:08:47,0,1,1,Positif
dany Zelynbird,Sangat mempermudah utk proses berobat..utk pemilihan tanggal berobat di puskesmas hanya di batasi 2 hr sj .. Jika saat pendftran pakai email dan email tdk bs dipakai lagi apakah tdk bisa buat akun baru lagi..ya mohon disediakan fitur pembaharuan jika akun lama tdk bisa digunakan karena kan terkadang hp hilang no hrs ganti baru..ada juga lupa email.. jd mohon ada solusi agar bs menggunakan mobil jkn kembali Terima kasih. Mohon saran ttg kendala2 diatas dipertimbangkan,5,4.3.0,2023-01-06 05:36:58,0,1,1,Positif
Asnawati Wati,"sudah diupdate juga sama, tidak bisa daftar. Muncul tulisan jam akes tidak sesuai. Padahal data dah sesuai dimasukkan.",1,4.3.0,2023-01-22 14:01:00,-1,-1,-1,Negatif
"Muhammad Yusuf (Yusuf, S.Kom)","Bagus aplikasinya BPJS kesehatan, sangat memudahkan pendaftaran dan perubahan data, mudahan didukung oleh praktek lapangannya dengan adanya aplikasi tidak perlu adanya kartu fisik.",5,4.3.0,2023-01-21 04:43:25,1,1,1,Positif
Heri Hasri,"Aplikasi ini tidak berfungsi, ketika mendaftar, nik kita di tolak dgn alasan tdk terdaftar di dukcapil. Harap diperbaiki bila ingin aplikasi ini bisa digunakan masyarakat dgn benar dan mudah.",1,4.3.0,2023-01-04 02:45:23,-1,-1,-1,Negatif
Surya Dharma Purba (SDP),"Aplikasi sampah, surat rujukan saya masih aktif s/d maret tp diaplikasi malah ga muncul, ditambah lg kejadian hari ini saya berobat ke rs sakit rujukan taunya malah ga bs krn berkas berobat saya hilang oleh pihak rs udah komplain tp ada tanggapan, anehnya diaplikasi ini saya sudah tercatat berobat, ini bentuk korupsi pihak rs bersama-sama jkn/bpjs pastinya, aplikasinya sampah dan pasti orang""nya jg sama",1,4.3.0,2023-01-01 09:42:00,-1,-1,-1,Negatif
ahmad sueb aridzal 132430,"Sumpah kesel gua sama aplikasi mobile jkn sekarang, Data gua kok berubah no hp, email berubah padahal gua gak merasa ngerubah data. Balikin data gua seperti semula, Mobile jkn tanggung jawab.",1,4.3.0,2023-01-04 22:18:44,-1,-1,-1,Negatif
Gading Hegel,"Kenapa baru mau login udah disuruh auto debit sedangkan untuk auto debit tidak ada pilihan bank BNI cuma ada mandiri,BCA,BRI giliran pake rekening BRI masih gabisa lalu harus gimana buat masuk aja gabisa karena auto debit,kolo buat aplikasi yang niat lah",1,4.3.0,2023-01-16 01:44:18,-1,-1,-1,Negatif
F4 Game,Kalau daftar pada saat memasukan nomor telepon minta kode verifikasi malah gk bisa.. Harus aktif dan ada pulsanya.. Setelah udh di belikan pulsa malah tetep gk bisa.. Rugi beli pulsanya,1,4.3.0,2023-01-24 08:15:49,-1,-1,-1,Negatif
Ric Co,"Di update malah gak bisa login, padahal di versi yang lama bisa, udah nyoba isi form gak bisa upload dokumen ktp, udah coba ganti nomor, ganti hp, pake laptop, tetep aja gak bisa, telfon call center disuruh ngerjain waktu jam kerja, lah gw protes jam 1 siang, bukan jam kerja?? Call center aneh...",1,4.3.0,2023-01-04 04:25:45,-1,-1,-1,Negatif
faizal fajri,"aplikasi susah, biasanya tidak seribet ini buat daftar, malah harus verifikasi nomor, dan pakai biaya pulsa sendiri. mohon di perbaiki. aplikasi ginian ada untuk mempermudah bukan untuk mempersulit",1,4.3.0,2023-01-29 07:44:51,-1,-1,-1,Negatif
Ghost,Mohon maaf kok data peserta nya beda sama data yang sudah di perbarui. Di aplikasi nya masih menggunakan data yg lama . Padahal data saya berikut alamat di ktp saya sudah saya perbarui memakai alamat baru . Tapi di aplikasinya masih alamat yg dulu. Tolong di perbarui secepat nya kalo memang aplikasi ini akan berguna untuk masa yang akan datang . Terimakasih,1,4.3.0,2023-01-23 03:12:17,-1,-1,-1,Negatif
widiya citra,"gatau apa gunanya apk ini, mau daftar antrean online gagal terus padahal sudah update, sudah bersihkan chace, sudah download ulang juga, tetepaja gabisa padahal jaringan bagus, paketan juga masih banyak banget",1,4.3.0,2023-01-09 13:47:21,-1,-1,-1,Negatif
nurbayah bayah,"Apakah lewat Aplikasi memang tidak bisa menyambung kan ke Auto Debit?? setelah daftar keluar utk nomer bayarx, tapi lewat dri tanggal jatuh tempox untuk bayar itu gimana ya, apa kah bisa?",3,4.3.0,2023-01-13 08:32:53,0,-1,0,Netral
Restu Saepul,"Kenapa kalau update harus pake sms dan pemilik wajib punya pulsa, apa tdk di pikirkan kalangan masyarakat bawah mau berobat aja harud beli pulsa dlu, ribet bgtt ga kaya app lain kalau update ya update aja gth ini kan app milik pemerintah apa iya harus se ribet itu, di bikin simple kan bisa app lain aja bisa ko, tolong di perbaiki demi kenyamanan pengguna dan masyarakat,",1,4.3.0,2023-01-15 04:40:32,-1,-1,-1,Negatif
Night Knight,"Untuk Bapak/Ibu yg tidak bisa membuka aplikasi ini karena aplikasi menanyakan nomor PIN baru, silakan isi PIN baru dengan 6 digit nomor yang Bapak/Ibu sukai, lalu catat/screenshoot. Nomor PIN baru ini akan digunakan jika Bapak/Ibu akan melakukan perubahan data peserta. Demikian penjelasan dari satpam di kantor BPJS di kota saya.",3,4.3.0,2023-01-01 04:39:00,0,-1,0,Netral
Aditya Angkasa,"Pengelola bobrok, tagihan tanpa tunggakan , sdh 3-4x auto debit ngmbilnya bulan sekarang paling gde 4x tagihan. Dikira uang kecil apa, pengelola bobrok kompalin sana sini jawabannya sama dan parahnya gx bisa di kembalikan uang yg sdh di tarik auto debit, dan fitur buat ngelepas auto debit gx ada, bukan buat nyaman dan mempermudah pengguna tapi malah buat pengguna sengsara dengan penarikan auto debit gx ngotak, bener bener bobrok pengelolanya padahal kesalahan dari pihak bpjsnya tetap gx mw salah",1,4.3.0,2023-01-29 13:23:25,-1,-1,-1,Negatif
Sheila Chei,"Minta update melulu nih aplikasi. Kalau ga diupdate, langsung out sendiri. Apa sih mau nya? Ribet amat aplikasi harus update terus2an. Meskipun intinya peningkatan aplikasi, tapi ya ga wajib update juga keles.",1,4.3.0,2023-01-22 17:19:43,-1,-1,-1,Negatif
Yesha Lucu,"Setelah pembaruan malah ga bisa masuk, nik ktp nya salah terus padahal sudah di ketik dengan benar sampai berkali2 coba tetap aja ga bisa",1,4.3.0,2023-01-12 22:57:09,-1,-1,-1,Negatif
Rya Amir,"Saya pernah daftar akun disini, tapi saat mau login kembali saya lupa kata sandi. Pas tekan lupa kata sandi trus masukkan nomor NIK kependudukan kenapa tertulis akun anda belum terdaftar? Trus saya daftar ulang akun malah katanya data tidak ditemukan.",1,4.3.0,2023-01-09 00:23:31,-1,-1,-1,Negatif
kunta haruman mukti,Fitur pendaftaran pelayanan antrean mohon di perbaiki. Saya sudah daftar dan men dapat nomor antrean. Setelah itu ga bisa kebuka. Dan pas datang ke rs. Nomor antrean tersebut sudah jd nama org lain,1,4.3.0,2023-01-30 03:01:00,-1,-1,-1,Negatif
Sisilia Berlin,"Saya tidak bisa login, pdahal NIK dan no BPJS sudah sesuai. Di suruh update no HP sudah saya hubungi Pandawa tapi masih saja gak bisa login sampe berulang kali gagal terus pdhal password juga udah bener.",1,4.3.0,2023-01-04 07:54:24,-1,-1,-1,Negatif
Idarwati Syam,Sangat mudah diaplikasikan untuk perubahan data faskes. Sebaiknya alamat di map disinkronkan dgn nama faskes yg terdaftar. Terimakasih,5,4.3.0,2023-01-30 00:55:46,0,1,1,Positif
Mr Ecko Dharmoe,Aplikasi payah...untuk ruda data dimintai pin ...ini itu.... !! Padahal gak notifikasi pin yang masuk ke email/no.hp... Mending langsung ke Luring aja atau kantor nya aajaa..!! Terlalu ribet...!!,1,4.3.0,2023-01-15 07:52:51,-1,-1,-1,Negatif
Juju Juhana,"Fitur lumayan lengkap. Cuman saat di update ulang(wajib), Harus login ulang lumayan susah dan belum singkron dengan akun googlle diperangkat",2,4.3.0,2023-01-16 05:21:35,0,-1,-1,Negatif
nita nurjanah,"Demi apapun, ini aplikasi sangat² menyebalkan, cuma mau daftar aja nggak bisa², keterangannya selalu 'jam akses tidak sesuai', padahal udah selalu dicoba pagi siang sore malem, tapi tetep zonk, ampun bener dah",1,4.3.0,2023-01-08 15:15:34,-1,-1,-1,Negatif
Henti Kurniati,Mau daftar aja susah banget masuknya selalu saja ada yang tidak sesuai padahal semua sudah benar di ulang tetep ngga bisa . Auto uninstal kembali inimah,1,4.3.0,2023-01-21 22:58:12,-1,-1,-1,Negatif
Boss Lombok,Awalnya tak bisa daftar dgn kode kesalahan. Coba ganti penulisan nama huruf kecil dan kapital. Ulang2 captcha hingga terjadi kesalahan input captcha dan setelah input captcha diulang dengan benar malah bisa masuk.,4,4.3.0,2023-01-10 23:15:29,-1,-1,0,Negatif
neli,Lihat di RS katanya bs daftar antrian secara online via jkn mobile faktanya gitu aku mau daftar malah tertulis nomor hp kosong silahkan ubah di menu ubah data padahal di cek nomor telepon nya sudah ada. Iklan tidak sesuai dgn realita 😐,1,4.3.0,2023-01-23 13:24:32,-1,-1,-1,Negatif
endarwati Wati,"Apa apaan ini, suruh masukin pin buat verifikasi giliran udah di pencet malah gaada pin nya ga muncul di SMS juga. Gimana si udah seharian ngurusin apk ini gaguna bnget.",1,4.3.0,2023-01-13 12:45:57,-1,-1,-1,Negatif
