userName,content,score,reviewCreatedVersion,at,Sentimen (Aurel),Sentimen (Ade),Sentimen (Eky),Sentimen Akhir,translated_content,processed_text,textblob_ready_text,tokens,lemmatized_tokens,afinn_score,afinn_label,swn_pos_score,swn_neg_score,swn_sentiment_score,swn_label,senticnet_score,senticnet_label,textblob_polarity,textblob_subjectivity,textblob_label
Syah Ria,Ok,5,4.3.0,2022-12-24 01:40:00,1.0,1.0,1.0,Positif,"All right, all right, all right, all right, all right, all right, all right, all right, all right, all right, all right, all right, all right, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go,",all right all right all right all right all right all right all right all right all right all right all right all right all right lets go lets go lets go lets go lets go lets go lets go lets go lets go lets go lets go lets go lets go lets go lets go lets go lets go lets go lets go lets go lets go lets go lets go lets go lets go lets go lets go lets go lets go lets go lets go lets go lets go lets go lets go lets go lets go lets go lets go lets go lets go lets go lets go lets go lets go lets go lets go lets go lets go,"all right, all right, all right, all right, all right, all right, all right, all right, all right, all right, all right, all right, all right, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go,","['all', 'right', 'all', 'right', 'all', 'right', 'all', 'right', 'all', 'right', 'all', 'right', 'all', 'right', 'all', 'right', 'all', 'right', 'all', 'right', 'all', 'right', 'all', 'right', 'all', 'right', 'lets', 'go', 'lets', 'go', 'lets', 'go', 'lets', 'go', 'lets', 'go', 'lets', 'go', 'lets', 'go', 'lets', 'go', 'lets', 'go', 'lets', 'go', 'lets', 'go', 'lets', 'go', 'lets', 'go', 'lets', 'go', 'lets', 'go', 'lets', 'go', 'lets', 'go', 'lets', 'go', 'lets', 'go', 'lets', 'go', 'lets', 'go', 'lets', 'go', 'lets', 'go', 'lets', 'go', 'lets', 'go', 'lets', 'go', 'lets', 'go', 'lets', 'go', 'lets', 'go', 'lets', 'go', 'lets', 'go', 'lets', 'go', 'lets', 'go', 'lets', 'go', 'lets', 'go', 'lets', 'go', 'lets', 'go', 'lets', 'go', 'lets', 'go', 'lets', 'go', 'lets', 'go', 'lets', 'go', 'lets', 'go', 'lets', 'go', 'lets', 'go', 'lets', 'go', 'lets', 'go', 'lets', 'go', 'lets', 'go']","['all', 'right', 'all', 'right', 'all', 'right', 'all', 'right', 'all', 'right', 'all', 'right', 'all', 'right', 'all', 'right', 'all', 'right', 'all', 'right', 'all', 'right', 'all', 'right', 'all', 'right', 'let', 'go', 'let', 'go', 'let', 'go', 'let', 'go', 'let', 'go', 'let', 'go', 'let', 'go', 'let', 'go', 'let', 'go', 'let', 'go', 'let', 'go', 'let', 'go', 'let', 'go', 'let', 'go', 'let', 'go', 'let', 'go', 'let', 'go', 'let', 'go', 'let', 'go', 'let', 'go', 'let', 'go', 'let', 'go', 'let', 'go', 'let', 'go', 'let', 'go', 'let', 'go', 'let', 'go', 'let', 'go', 'let', 'go', 'let', 'go', 'let', 'go', 'let', 'go', 'let', 'go', 'let', 'go', 'let', 'go', 'let', 'go', 'let', 'go', 'let', 'go', 'let', 'go', 'let', 'go', 'let', 'go', 'let', 'go', 'let', 'go', 'let', 'go', 'let', 'go', 'let', 'go', 'let', 'go', 'let', 'go', 'let', 'go']",0.0,Netral,2.75,0.0,2.75,Positif,0.0,Netral,0.28571428571428564,0.5357142857142857,Positif
GiLang Lp,"Saya sudah biasa menggunakan utk keperluan terkain bpjs kesehata, terutama untuk booking no antrean, tapi kenapa bulan sekarang sya ga bisa booking muncul keterangan ""user ini sudah tidak dapat di gunakan"" padahal ga pernah saya utak atik dari terahir di gunakan, bahkan iuran sudah terbayar....tong segera di perbaiki",1,4.3.0,2023-01-04 22:46:29,-1.0,-1.0,-1.0,Negatif,"I used to use it for medical purposes, especially for booking no queues, but why is it that this month can't book came up with this ""user's already inoperable"" statement when I've never had it used in the last time, even the due amount has been paid off...",i used to use it for medical purposes especially for booking no queues but why is it that this month cant book came up with this users already inoperable statement when ive never had it used in the last time even the due amount has been paid off,"i used to use it for medical purposes, especially for booking no queues, but why is it that this month can't book came up with this ""user's already inoperable"" statement when i've never had it used in the last time, even the due amount has been paid off...","['i', 'used', 'to', 'use', 'it', 'for', 'medical', 'purposes', 'especially', 'for', 'booking', 'no', 'queues', 'but', 'why', 'is', 'it', 'that', 'this', 'month', 'cant', 'book', 'came', 'up', 'with', 'this', 'users', 'already', 'inoperable', 'statement', 'when', 'ive', 'never', 'had', 'it', 'used', 'in', 'the', 'last', 'time', 'even', 'the', 'due', 'amount', 'has', 'been', 'paid', 'off']","['i', 'use', 'to', 'use', 'it', 'for', 'medical', 'purpose', 'especially', 'for', 'book', 'no', 'queue', 'but', 'why', 'be', 'it', 'that', 'this', 'month', 'cant', 'book', 'come', 'up', 'with', 'this', 'user', 'already', 'inoperable', 'statement', 'when', 'ive', 'never', 'have', 'it', 'use', 'in', 'the', 'last', 'time', 'even', 'the', 'due', 'amount', 'have', 'be', 'pay', 'off']",-1.0,Negatif,1.25,1.875,-0.625,Negatif,-0.0706,Negatif,-0.03125,0.36041666666666666,Netral
Uus Ganteng,Mudah2an bisa membantu,5,4.3.0,2023-01-20 00:38:30,1.0,1.0,1.0,Positif,Hopefully it'll help.,hopefully itll help,hopefully it'll help.,"['hopefully', 'itll', 'help']","['hopefully', 'itll', 'help']",4.0,Positif,1.0,0.0,1.0,Positif,0.5755,Positif,0.0,0.0,Netral
pratomo adiwibowo,Bagus,4,4.2.3,2022-10-25 16:44:55,1.0,1.0,1.0,Positif,Good.,good,good.,['good'],['good'],3.0,Positif,0.75,0.0,0.75,Positif,0.191,Positif,0.7,0.6000000000000001,Positif
Ogi Rogisno,Good job,5,4.2.3,2022-12-25 08:01:47,1.0,1.0,1.0,Positif,Good job,good job,good job,"['good', 'job']","['good', 'job']",3.0,Positif,0.75,0.0,0.75,Positif,0.1805,Positif,0.7,0.6000000000000001,Positif
Nida ul hasanah,Wiih...ternyata aplikasinya bagus ya sekarang...dulu sempet download susah sekali login dan tdk responsif...sekarang mudah digunakan dan user friendly..good job terus tingkatkan pelayanannya,5,4.3.0,2023-01-01 08:59:00,1.0,1.0,1.0,Positif,"It's... it's turned out it's a good app. Well, now, it's... it's hard to download. It's hard to log in and nonresponsive... it's easy to use and user friendly...good job continues to improve his service.",its its turned out its a good app well now its its hard to download its hard to log in and nonresponsive its easy to use and user friendlygood job continues to improve his service,"it's... it's turned out it's a good app. well, now, it's... it's hard to download. it's hard to log in and nonresponsive... it's easy to use and user friendly...good job continues to improve his service.","['its', 'its', 'turned', 'out', 'its', 'a', 'good', 'app', 'well', 'now', 'its', 'its', 'hard', 'to', 'download', 'its', 'hard', 'to', 'log', 'in', 'and', 'nonresponsive', 'its', 'easy', 'to', 'use', 'and', 'user', 'friendlygood', 'job', 'continues', 'to', 'improve', 'his', 'service']","['its', 'its', 'turn', 'out', 'its', 'a', 'good', 'app', 'well', 'now', 'its', 'its', 'hard', 'to', 'download', 'its', 'hard', 'to', 'log', 'in', 'and', 'nonresponsive', 'its', 'easy', 'to', 'use', 'and', 'user', 'friendlygood', 'job', 'continue', 'to', 'improve', 'his', 'service']",4.0,Positif,2.125,1.75,0.375,Positif,0.07050000000000001,Positif,0.13749999999999998,0.6291666666666667,Positif
Iwan Rezeki,APLIKASI BODONG SIALAN,1,4.3.0,2023-01-01 03:51:00,-1.0,-1.0,-1.0,Negatif,BODONG PROGRAM,bodong program,bodong program,"['bodong', 'program']","['bodong', 'program']",0.0,Netral,0.0,0.0,0.0,Netral,0.0,Netral,0.0,0.0,Netral
Willy Fitra,Sangat membantu,5,4.2.3,2022-10-10 03:24:26,1.0,1.0,1.0,Positif,Very helpful.,very helpful,very helpful.,"['very', 'helpful']","['very', 'helpful']",2.0,Positif,0.5,0.25,0.25,Positif,-0.94,Negatif,0.2,0.3,Positif
dwi prayogo,Apl yg sangat bagus dan bermanfaat sekali seputar masalah kesehatan,5,4.2.3,2022-01-21 02:23:00,1.0,1.0,1.0,Positif,It's very nice and very beneficial around health issues.,its very nice and very beneficial around health issues,it's very nice and very beneficial around health issues.,"['its', 'very', 'nice', 'and', 'very', 'beneficial', 'around', 'health', 'issues']","['its', 'very', 'nice', 'and', 'very', 'beneficial', 'around', 'health', 'issue']",3.0,Positif,3.0,0.25,2.75,Positif,0.22233333333333336,Positif,0.49,0.65,Positif
Bandi Zahyan,👍,5,4.2.3,2022-01-30 07:23:00,1.0,1.0,1.0,Positif,"counted on the end of the line. - No, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no.",counted on the end of the line no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no,"counted on the end of the line. - no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no.","['counted', 'on', 'the', 'end', 'of', 'the', 'line', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']","['count', 'on', 'the', 'end', 'of', 'the', 'line', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']",-92.0,Negatif,0.0,0.0,0.0,Netral,0.798,Positif,0.0,0.0,Netral
Mbenn chill,Oke baget,5,4.2.3,2023-01-07 15:13:19,1.0,1.0,1.0,Positif,"Okay, I got it, I got it, I got it, I got it, I got it, I got it, I got it, I got it, I got it, I got it, I got it, I got it, I got it, I got it, I got it, I got it, I got it, I got it, I got it, I got it, I got it, I got it, I got it, I got it, I got it.",okay i got it i got it i got it i got it i got it i got it i got it i got it i got it i got it i got it i got it i got it i got it i got it i got it i got it i got it i got it i got it i got it i got it i got it i got it i got it,"okay, i got it, i got it, i got it, i got it, i got it, i got it, i got it, i got it, i got it, i got it, i got it, i got it, i got it, i got it, i got it, i got it, i got it, i got it, i got it, i got it, i got it, i got it, i got it, i got it, i got it.","['okay', 'i', 'got', 'it', 'i', 'got', 'it', 'i', 'got', 'it', 'i', 'got', 'it', 'i', 'got', 'it', 'i', 'got', 'it', 'i', 'got', 'it', 'i', 'got', 'it', 'i', 'got', 'it', 'i', 'got', 'it', 'i', 'got', 'it', 'i', 'got', 'it', 'i', 'got', 'it', 'i', 'got', 'it', 'i', 'got', 'it', 'i', 'got', 'it', 'i', 'got', 'it', 'i', 'got', 'it', 'i', 'got', 'it', 'i', 'got', 'it', 'i', 'got', 'it', 'i', 'got', 'it', 'i', 'got', 'it', 'i', 'got', 'it', 'i', 'got', 'it']","['okay', 'i', 'get', 'it', 'i', 'get', 'it', 'i', 'get', 'it', 'i', 'get', 'it', 'i', 'get', 'it', 'i', 'get', 'it', 'i', 'get', 'it', 'i', 'get', 'it', 'i', 'get', 'it', 'i', 'get', 'it', 'i', 'get', 'it', 'i', 'get', 'it', 'i', 'get', 'it', 'i', 'get', 'it', 'i', 'get', 'it', 'i', 'get', 'it', 'i', 'get', 'it', 'i', 'get', 'it', 'i', 'get', 'it', 'i', 'get', 'it', 'i', 'get', 'it', 'i', 'get', 'it', 'i', 'get', 'it', 'i', 'get', 'it', 'i', 'get', 'it']",0.0,Netral,3.25,0.125,3.125,Positif,0.17,Positif,0.5,0.5,Positif
Muh Arifiyanto,Ok,5,4.3.0,2023-01-12 00:34:53,1.0,1.0,1.0,Positif,"All right, all right, all right, all right, all right, all right, all right, all right, all right, all right, all right, all right, all right, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go,",all right all right all right all right all right all right all right all right all right all right all right all right all right lets go lets go lets go lets go lets go lets go lets go lets go lets go lets go lets go lets go lets go lets go lets go lets go lets go lets go lets go lets go lets go lets go lets go lets go lets go lets go lets go lets go lets go lets go lets go lets go lets go lets go lets go lets go lets go lets go lets go lets go lets go lets go lets go lets go lets go lets go lets go lets go lets go,"all right, all right, all right, all right, all right, all right, all right, all right, all right, all right, all right, all right, all right, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go,","['all', 'right', 'all', 'right', 'all', 'right', 'all', 'right', 'all', 'right', 'all', 'right', 'all', 'right', 'all', 'right', 'all', 'right', 'all', 'right', 'all', 'right', 'all', 'right', 'all', 'right', 'lets', 'go', 'lets', 'go', 'lets', 'go', 'lets', 'go', 'lets', 'go', 'lets', 'go', 'lets', 'go', 'lets', 'go', 'lets', 'go', 'lets', 'go', 'lets', 'go', 'lets', 'go', 'lets', 'go', 'lets', 'go', 'lets', 'go', 'lets', 'go', 'lets', 'go', 'lets', 'go', 'lets', 'go', 'lets', 'go', 'lets', 'go', 'lets', 'go', 'lets', 'go', 'lets', 'go', 'lets', 'go', 'lets', 'go', 'lets', 'go', 'lets', 'go', 'lets', 'go', 'lets', 'go', 'lets', 'go', 'lets', 'go', 'lets', 'go', 'lets', 'go', 'lets', 'go', 'lets', 'go', 'lets', 'go', 'lets', 'go', 'lets', 'go', 'lets', 'go', 'lets', 'go', 'lets', 'go', 'lets', 'go', 'lets', 'go', 'lets', 'go', 'lets', 'go', 'lets', 'go', 'lets', 'go', 'lets', 'go']","['all', 'right', 'all', 'right', 'all', 'right', 'all', 'right', 'all', 'right', 'all', 'right', 'all', 'right', 'all', 'right', 'all', 'right', 'all', 'right', 'all', 'right', 'all', 'right', 'all', 'right', 'let', 'go', 'let', 'go', 'let', 'go', 'let', 'go', 'let', 'go', 'let', 'go', 'let', 'go', 'let', 'go', 'let', 'go', 'let', 'go', 'let', 'go', 'let', 'go', 'let', 'go', 'let', 'go', 'let', 'go', 'let', 'go', 'let', 'go', 'let', 'go', 'let', 'go', 'let', 'go', 'let', 'go', 'let', 'go', 'let', 'go', 'let', 'go', 'let', 'go', 'let', 'go', 'let', 'go', 'let', 'go', 'let', 'go', 'let', 'go', 'let', 'go', 'let', 'go', 'let', 'go', 'let', 'go', 'let', 'go', 'let', 'go', 'let', 'go', 'let', 'go', 'let', 'go', 'let', 'go', 'let', 'go', 'let', 'go', 'let', 'go', 'let', 'go', 'let', 'go', 'let', 'go', 'let', 'go', 'let', 'go', 'let', 'go']",0.0,Netral,2.75,0.0,2.75,Positif,0.0,Netral,0.28571428571428564,0.5357142857142857,Positif
Azam Car Rental Sorong,Mantap,5,4.3.0,2023-01-05 01:58:00,1.0,1.0,1.0,Positif,Steady.,steady,steady.,['steady'],['steady'],0.0,Netral,0.125,0.625,-0.5,Negatif,0.884,Positif,0.16666666666666666,0.5,Positif
